dataset,question_id,question,gold_answers,b0_prediction,b0_em,b0_f1,b1_prediction,b1_em,b1_f1,b2_prediction,b2_em,b2_f1,b1_titles,b2_round1_titles,b2_followup_query,b2_round2_titles,b1_latency_seconds,b2_latency_seconds,manual_label,manual_notes
HotpotQA,dev_11,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,James L. Brooks,0,0.0,David Weissman,1,1.0,David Diamond,0,0.5,Nicolas Cage | Téa Leoni | Evolution (2001 film),Nicolas Cage | Téa Leoni | Evolution (2001 film),screenwriter Evolution Nicolas Cage Téa Leoni,Nicolas Cage | Nicolas Cage | David Diamond (screenwriter),5.070500670932233,9.962170131970197,,
HotpotQA,dev_14,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,1999-2008,0,0.0,Eric Harrison managed Manchester United during June 1981 to the 1993-94 season.,0,0.1333,Eric Harrison managed Manchester United from June 1981 to the end of the 1993–94 season.,0,0.2353,Eric Harrison (footballer) | Eric Harrison (footballer) | 1993–94 Manchester United F.C. season,Eric Harrison (footballer) | Eric Harrison (footballer) | 1993–94 Manchester United F.C. season,Eric Harrison Manchester United recruitment timeframe David Beckham,Eric Harrison (footballer) | Eric Harrison (footballer) | David Beckham,6.305874052923173,11.180348180234432,,
HotpotQA,dev_16,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,The Green Mountain Conference,0,0.3333,Central Atlantic Collegiate Conference,0,0.5714,Central Atlantic Collegiate Conference,0,0.5714,Vermont Catamounts | Vermont Catamounts | Central Atlantic Collegiate Conference,Vermont Catamounts | Vermont Catamounts | Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference was formerly known as from 1988 to 1996?,Central Atlantic Collegiate Conference | Central Atlantic Collegiate Conference | South Atlantic Conference,6.769145584199578,11.817339173983783,,
HotpotQA,dev_18,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,"Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the presidency of Jimmy Carter, which served from 1977 to 1981.",0,0.0,"Roger O. Egeberg served as Assistant Secretary for Health and Scientific Affairs during the Nixon administration, which served from 1969 to 1974.",0,0.1667,"Roger O. Egeberg served as Assistant Secretary for Health and Scientific Affairs during the Nixon administration, which was from 1969 to 1971.",0,0.0833,Roger O. Egeberg | Roger O. Egeberg | Roger O. Egeberg,Roger O. Egeberg | Roger O. Egeberg | Roger O. Egeberg,What were the years of the Nixon administration when Roger O. Egeberg served as Assistant Secretary for Health and Scientific Affairs?,Roger O. Egeberg | Roger O. Egeberg | Roger O. Egeberg,7.197446754667908,12.66528429929167,,
HotpotQA,dev_2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,"The Science Fantasy Young Adult series you are referring to is likely ""The Lost Fleet"" by John Ringo, though it's worth noting that the concept of enslaved worlds and alien species being narrated by companion books isn't explicitly stated for this series. A more fitting match would be ""The Rangers Apprentice"" series by John",0,0.0,Animorphs,1,1.0,Animorphs,1,1.0,Animorphs | Foreigner universe | Young Wizards,Animorphs | Foreigner universe | Young Wizards,Animorphs Companion Books Alien Species,Animorphs | Animorphs | The Andalite Chronicles,7.52327774791047,13.965984337031841,,
HotpotQA,dev_24,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,"The father of Kasper Schmeichel, Peter Schmeichel, was voted World's Best Goalkeeper by the IFFHS in 1992.",0,0.3333,Peter Schmeichel was voted the IFFHS World's Best Goalkeeper in 1992.,0,0.4615,Peter Schmeichel,0,0.0,Peter Schmeichel | Kasper Schmeichel | Peter Schmeichel,Peter Schmeichel | Kasper Schmeichel | Peter Schmeichel,Peter Schmeichel IFFHS vote 1992,Peter Schmeichel | Peter Schmeichel | Peter Schmeichel,7.914729739073664,11.992778552230448,,
HotpotQA,dev_28,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,Andrew Carnegie,0,0.0,Henry J. Kaiser,1,1.0,Henry J. Kaiser,1,1.0,Henry J. Kaiser | Henry J. Kaiser | Kaiser Shipyards,Henry J. Kaiser | Henry J. Kaiser | Kaiser Shipyards,Henry J. Kaiser founder of Kaiser Ventures,Henry J. Kaiser | Henry J. Kaiser | Henry J. Kaiser,6.307018320076168,11.045804728753865,,
HotpotQA,dev_30,"When was Poison's album ""Shut Up, Make Love"" released?",2000,"Poison's album ""Shut Up, Make Love"" was released on November 14, 1995.",0,0.0,"The album ""Shut Up, Make Love"" was released on March 14, 2000.",0,0.1667,"Poison's album ""Shut Up, Make Love"" was released on March 14, 2000.",0,0.1538,Poison (American band) | Open Up and Say... Ahh! | Poison (American band),Poison (American band) | Open Up and Say... Ahh! | Poison (American band),"Shut Up, Make Love Poison album release date",Poison (American band) | Dispose (album) | Honey (Scandal album),7.052940712776035,10.084876449778676,,
HotpotQA,dev_36,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,2005,0,0.0,2000,1,1.0,2000,1,1.0,Carlo Rovelli | Carlo Rovelli | Charles Fabry,Carlo Rovelli | Carlo Rovelli | Charles Fabry,What year did Carlo Rovelli start working in France?,Carlo Rovelli | Carlo Rovelli | Carlo Rovelli,5.922070385888219,12.10627971822396,,
HotpotQA,dev_37,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,World War II,1,1.0,World War I and World War II,0,0.6,World War I and World War II,0,0.6,Livesey Hall War Memorial | Livesey Hall War Memorial | Livesey Hall War Memorial,Livesey Hall War Memorial | Livesey Hall War Memorial | Livesey Hall War Memorial,World War I casualties of Livesey Hall War Memorial memorial,Livesey Hall War Memorial | Livesey Hall War Memorial | Livesey Hall War Memorial,5.508581610862166,11.132186700124294,,
HotpotQA,dev_39,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,Raleigh,0,0.0,Columbia University,0,0.0,New York City,1,1.0,Ralph Hefferline | Ralph Hefferline | Carroll C. Pratt,Ralph Hefferline | Ralph Hefferline | Carroll C. Pratt,Columbia University location,Columbia University | Columbia University | Columbia University,7.706096891313791,10.884640044067055,,
HotpotQA,dev_44,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,"Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under Dan Quayle, who was the Vice President of the United States from 1989 to 1993.",0,0.0,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under the United States Vice President Nelson Rockefeller.,0,0.1667,Nelson Rockefeller,1,1.0,Alfred Balk | Alfred Balk | Office of the Vice President of the United States,Alfred Balk | Alfred Balk | Office of the Vice President of the United States,Office of the Vice President of the United States: Who served as Vice President when Alfred Balk served as secretary of the Committee on the Employment of Minority Groups in the,Office of the Vice President of the United States | Alfred Balk | Vice President of the United States,7.718185880687088,12.249657199252397,,
HotpotQA,dev_5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,"2014 S/S is the debut album of iKON, which was formed by JYP Entertainment.",0,0.1333,MarblePop Entertainment,0,0.5,YG Entertainment,1,1.0,HeartB | 2014 S/S | 2014 S/S,HeartB | 2014 S/S | 2014 S/S,Who formed the South Korean boy group that released the debut album 2014 S/S?,HeartB | William Ellis School | 2014 S/S,6.283113874960691,20.22610444109887,,
HotpotQA,dev_9,Are Local H and For Against both from the United States?,yes,"Yes, both Local H and For Against are from the United States.",0,0.1667,"No, Local H is from the United States, while For Against is from Nebraska, United States.",0,0.0,"No, Local H is from the United States, while For Against is also from the United States.",0,0.0,For Against | For Against | Local H,For Against | For Against | Local H,Are Local H and For Against both from the United States?,For Against | For Against | Local H,6.93656815495342,11.500542669091374,,
NQ,test_1,when is the next deadpool movie being released?,"May 18, 2018","The next Deadpool movie, titled ""Deadpool 3"", is not scheduled for a release date as of now.",0,0.0,"The next Deadpool movie after ""Deadpool 2"" is not mentioned, and there are no upcoming Deadpool movies listed in the provided documents.",0,0.0,"The next Deadpool movie, Deadpool 2, was released on May 18, 2018. There is no information about a subsequent Deadpool movie in the provided documents.",0,0.24,Deadpool (film) | Deadpool 2 | Deadpool 2,Deadpool (film) | Deadpool 2 | Deadpool 2,when is the next deadpool movie being released?,Deadpool (film) | Deadpool 2 | Deadpool 2,5.253942281939089,19.106609125155956,,
NQ,test_10,what is the most current adobe flash player version?,28.0.0.137,The most current Adobe Flash Player version as of 2023 is Flash Player 29.,0,0.0,The most current Adobe Flash Player version mentioned in the provided documents is 24.,0,0.0,The most current Adobe Flash Player version as of the information provided is 24.,0,0.0,Adobe Flash | Adobe Flash Player | Adobe Flash Player,Adobe Flash | Adobe Flash Player | Adobe Flash Player,what is the most recent version of adobe flash player for linux?,Adobe Flash Player | Adobe Flash | Adobe Flash Player,5.731731106061488,12.494725460652262,,
NQ,test_11,swan lake the sleeping beauty and the nutcracker are three famous ballets by?,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky,1,1.0,Nevada Ballet Theatre,0,0.0,George Balanchine,0,0.0,Nevada Ballet Theatre | Vienna Festival Ballet | Oakville Ballet Company,Nevada Ballet Theatre | Vienna Festival Ballet | Oakville Ballet Company,George Balanchine,George Balanchine | George Balanchine | George Balanchine,6.4024797161109746,12.049500240013003,,
NQ,test_14,who designed the garden city of new earswick?,planner Raymond Unwin | architect Barry Parker | Raymond Unwin,The garden city of New Earswick was designed by Ebenezer Howard.,0,0.0,Barry Parker,0,0.8,Barry Parker,0,0.8,New Earswick | Ebenezer Howard | Garden city movement,New Earswick | Ebenezer Howard | Garden city movement,Barry Parker designed New Earswick garden city?,New Earswick | Garden city movement | Richard Barry Parker,6.320670191198587,10.585329617839307,,
NQ,test_15,what is the first step in the evolution of the eye?,photoreceptor proteins that sense light | eyespots,The first step in the evolution of the eye was likely the development of light-sensitive cells (rods and cones) in the photoreceptor layer of the retina.,0,0.08,"The first step in the evolution of the eye, according to the provided documents, was complex, image-forming eyes appearing during the Cambrian explosion, which occurred within a few million years of the Cambrian period around 540 million years ago.",0,0.0,"The first step in the evolution of the eye, according to the provided documents, was the appearance of complex, image-forming eyes within the few million years of the Cambrian explosion.",0,0.0,Evolution of the eye | Evolution of the eye | Eye,Evolution of the eye | Evolution of the eye | Eye,what is the first step in the evolution of the eye?,Evolution of the eye | Evolution of the eye | Eye,8.39337679790333,12.692028446123004,,
NQ,test_23,what part of the brain is in the middle cranial fossa?,pituitary gland | the temporal lobes | the pituitary gland | temporal lobes,The middle cranial fossa contains parts of the brain including the pituitary gland and the optic nerve.,0,0.2667,The temporal lobes of the brain are located in the middle cranial fossa.,0,0.3333,Temporal lobes of the brain,0,0.6667,Middle cranial fossa | Middle cranial fossa | Middle cranial fossa,Middle cranial fossa | Middle cranial fossa | Middle cranial fossa,what part of the brain is in the middle cranial fossa?,Middle cranial fossa | Middle cranial fossa | Middle cranial fossa,8.254959683865309,13.80493113072589,,
NQ,test_24,where do the greasers live in the outsiders?,"Tulsa, Oklahoma","In The Outsiders, the greasers primarily live in the lower socioeconomic area of Tulsa, Oklahoma, known as the East Side.",0,0.2222,"Tulsa, Oklahoma",1,1.0,"Tulsa, Oklahoma",1,1.0,The Outsiders (film) | The Outsiders (novel) | The Outsiders (novel),The Outsiders (film) | The Outsiders (novel) | The Outsiders (novel),"Tulsa, Oklahoma","Tulsa, Oklahoma | Tulsa, Oklahoma | Tulsa, Oklahoma",9.412309676874429,14.827576212584972,,
NQ,test_26,where do they grow hops in the us?,"Yakima (Washington) | Idaho | Washington | western Canyon County, Idaho | Willamette (Oregon) | Oregon","Maine, Idaho, Oregon, and California are major producers of hops in the US.",0,0.1538,The principal regions in the US where hops are grown commercially are the Yakima Valley in Washington and the Willamette Valley in Oregon.,0,0.1905,The principal production centers for hops in the US are the Yakima Valley in Washington and the Willamette Valley in Oregon.,0,0.2105,Hops | Hops | Hops,Hops | Hops | Hops,WHERE DO THEY GROW HOPS IN THE US TODAY?,Hops | Hops | Hops,5.946533005218953,13.689173914957792,,
NQ,test_28,in which regions are most of africa petroleum and natural gas found?,Nigeria,"Most of Africa's petroleum and natural gas are found in the North African region, particularly in countries like Algeria, Libya, and Egypt. Sub-Saharan Africa also contains significant reserves, notably in Nigeria, Angola, and Equatorial Guinea.",0,0.0571,"Most of Africa's petroleum and natural gas are found in North Africa, specifically in countries like Libya, Algeria, and Egypt, which together account for 85% of the continent's oil production.",0,0.0,"Most of Africa's petroleum and natural gas are found in North Africa, with countries like Libya, Algeria, Nigeria, and Egypt dominating the oil and gas production.",0,0.0769,Mineral industry of Africa | Natural resources of Africa | Energy in Africa,Mineral industry of Africa | Natural resources of Africa | Energy in Africa,in which regions are most of africa's petroleum and natural gas found?,Mineral industry of Africa | Natural resources of Africa | Energy in Africa,6.94507194403559,12.522968478966504,,
NQ,test_29,in which sea pearl is found in india?,the Indian Ocean,Bay of Bengal,0,0.0,Gulf of Mannar,0,0.0,Gulf of Mannar,0,0.0,Pearl | Industry in ancient Tamil country | Pearl Fishery Coast,Pearl | Industry in ancient Tamil country | Pearl Fishery Coast,which sea is pearl found in india?,Pearl | Pearl Fishery Coast | Industry in ancient Tamil country,5.074623987078667,11.101486255880445,,
NQ,test_35,who played the mother in the black stallion?,Teri Garr,Dorothy McGuire played the mother in The Black Stallion.,0,0.0,Teri Garr,1,1.0,Teri Garr played the mother in The Black Stallion.,0,0.4444,The Black Stallion Returns | The Black Stallion (film) | The Black Stallion (film),The Black Stallion Returns | The Black Stallion (film) | The Black Stallion (film),Teri Garr,Teri Garr | Teri Garr | Teri Garr filmography,4.9803800829686224,11.159619106911123,,
