dataset,question_id,question,gold_answers,b2_prediction,b2_1_prediction,b2_em,b2_1_em,em_delta,b2_token_f1,b2_1_token_f1,token_f1_delta,b2_rounds,b2_1_rounds,b2_stop_reason,b2_1_stop_reason,b2_followup_query,b2_1_followup_query,b2_titles,b2_1_titles,b2_1_duplicates_filtered
hotpotqa,dev_44,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,"[""Nelson Rockefeller""]",Nelson Rockefeller,Spiro Agnew,1.0,0.0,-1.0,1.0,0.0,-1.0,2,2,,max_rounds_reached,,Office of the Vice President of the United States: Who served as Vice President when Alfred Balk served as secretary of the Committee on the Employment of Minority Groups in the,"[""R1.1 Alfred Balk"", ""R1.2 Alfred Balk"", ""R1.3 Office of the Vice President of the United States"", ""R2.1 Office of the Vice President of the United States"", ""R2.2 Alfred Balk"", ""R2.3 Vice President of the United States""]","[""R1.1 Alfred Balk"", ""R1.2 Alfred Balk"", ""R1.3 Office of the Vice President of the United States"", ""R2.1 Vice President of the United States"", ""R2.2 E. Frederic Morrow"", ""R2.3 Spiro Agnew""]",2
hotpotqa,dev_36,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,"[""2000""]",2000,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since 2000.,1.0,0.0,-1.0,1.0,0.1111111111111111,-0.8888888888888888,2,2,,max_rounds_reached,,What year did Carlo Rovelli start working in France?,"[""R1.1 Carlo Rovelli"", ""R1.2 Carlo Rovelli"", ""R1.3 Charles Fabry"", ""R2.1 Carlo Rovelli"", ""R2.2 Carlo Rovelli"", ""R2.3 Carlo Rovelli""]","[""R1.1 Carlo Rovelli"", ""R1.2 Carlo Rovelli"", ""R1.3 Charles Fabry"", ""R2.1 Carlo Rovelli"", ""R2.2 Carlo Rovelli"", ""R2.3 Joël de Rosnay""]",1
nq,test_14,who designed the garden city of new earswick?,"[""planner Raymond Unwin"", ""architect Barry Parker"", ""Raymond Unwin""]",Barry Parker,"Richard Barry Parker, along with his partner Barry Parker, designed the garden city of New Earswick.",0.0,0.0,0.0,0.8,0.2222222222222222,-0.5777777777777778,2,2,,max_rounds_reached,,Barry Parker designed New Earswick garden city?,"[""R1.1 New Earswick"", ""R1.2 Ebenezer Howard"", ""R1.3 Garden city movement"", ""R2.1 New Earswick"", ""R2.2 Garden city movement"", ""R2.3 Richard Barry Parker""]","[""R1.1 New Earswick"", ""R1.2 Ebenezer Howard"", ""R1.3 Garden city movement"", ""R2.1 Garden city movement"", ""R2.2 Richard Barry Parker"", ""R2.3 History of urban planning""]",1
nq,test_23,what part of the brain is in the middle cranial fossa?,"[""pituitary gland"", ""the temporal lobes"", ""the pituitary gland"", ""temporal lobes""]",Temporal lobes of the brain,The temporal lobes of the brain are located in the middle cranial fossa.,0.0,0.0,0.0,0.6666666666666666,0.33333333333333337,-0.33333333333333326,2,1,,duplicate_followup_query,,what part of the brain is in the middle cranial fossa?,"[""R1.1 Middle cranial fossa"", ""R1.2 Middle cranial fossa"", ""R1.3 Middle cranial fossa"", ""R2.1 Middle cranial fossa"", ""R2.2 Middle cranial fossa"", ""R2.3 Middle cranial fossa""]","[""R1.1 Middle cranial fossa"", ""R1.2 Middle cranial fossa"", ""R1.3 Middle cranial fossa""]",0
nq,test_1,when is the next deadpool movie being released?,"[""May 18, 2018""]","The next Deadpool movie, Deadpool 2, was released on May 18, 2018. There is no information about a subsequent Deadpool movie in the provided documents.","The next Deadpool movie after ""Deadpool 2"" is not mentioned, and there are no upcoming Deadpool movies listed in the provided documents.",0.0,0.0,0.0,0.24000000000000002,0.0,-0.24000000000000002,2,1,,duplicate_followup_query,,when is the next deadpool movie being released?,"[""R1.1 Deadpool (film)"", ""R1.2 Deadpool 2"", ""R1.3 Deadpool 2"", ""R2.1 Deadpool (film)"", ""R2.2 Deadpool 2"", ""R2.3 Deadpool 2""]","[""R1.1 Deadpool (film)"", ""R1.2 Deadpool 2"", ""R1.3 Deadpool 2""]",0
hotpotqa,dev_14,The football manager who recruited David Beckham managed Manchester United during what timeframe?,"[""from 1986 to 2013""]",Eric Harrison managed Manchester United from June 1981 to the end of the 1993–94 season.,"The football manager who recruited David Beckham, Eric Harrison, managed Manchester United during the timeframe of 1981-1993.",0.0,0.0,0.0,0.23529411764705882,0.0,-0.23529411764705882,2,2,,max_rounds_reached,,Eric Harrison Manchester United recruitment timeframe David Beckham,"[""R1.1 Eric Harrison (footballer)"", ""R1.2 Eric Harrison (footballer)"", ""R1.3 1993–94 Manchester United F.C. season"", ""R2.1 Eric Harrison (footballer)"", ""R2.2 Eric Harrison (footballer)"", ""R2.3 David Beckham""]","[""R1.1 Eric Harrison (footballer)"", ""R1.2 Eric Harrison (footballer)"", ""R1.3 1993–94 Manchester United F.C. season"", ""R2.1 David Beckham"", ""R2.2 David Beckham"", ""R2.3 David Beckham""]",2
nq,test_28,in which regions are most of africa petroleum and natural gas found?,"[""Nigeria""]","Most of Africa's petroleum and natural gas are found in North Africa, with countries like Libya, Algeria, Nigeria, and Egypt dominating the oil and gas production.","Most of Africa's petroleum and natural gas are found in North Africa, specifically in countries like Libya, Algeria, and Egypt, which together account for 85% of the continent's oil production.",0.0,0.0,0.0,0.07692307692307693,0.0,-0.07692307692307693,2,1,,duplicate_followup_query,,in which regions are most of africa's petroleum and natural gas found?,"[""R1.1 Mineral industry of Africa"", ""R1.2 Natural resources of Africa"", ""R1.3 Energy in Africa"", ""R2.1 Mineral industry of Africa"", ""R2.2 Natural resources of Africa"", ""R2.3 Energy in Africa""]","[""R1.1 Mineral industry of Africa"", ""R1.2 Natural resources of Africa"", ""R1.3 Energy in Africa""]",0
nq,test_39,where does the story the great gatsby take place?,"[""Long Island of 1922""]",The story takes place on the fictional towns of West Egg and East Egg on prosperous Long Island in the summer of 1922.,"The story takes place on the fictional Long Island, specifically in the towns of West Egg and East Egg.",0.0,0.0,0.0,0.33333333333333337,0.3,-0.03333333333333338,2,2,,max_rounds_reached,,The Great Gatsby setting,"[""R1.1 The Great Gatsby"", ""R1.2 The Great Gatsby"", ""R1.3 The Great Gatsby (2013 film)"", ""R2.1 The Great Gatsby"", ""R2.2 The Great Gatsby"", ""R2.3 The Great Gatsby (2013 film)""]","[""R1.1 The Great Gatsby"", ""R1.2 The Great Gatsby"", ""R1.3 The Great Gatsby (2013 film)"", ""R2.1 The Great Gatsby"", ""R2.2 The Great Gatsby (2013 film)"", ""R2.3 The Great Gatsby""]",3
nq,test_7,when is the next scandal episode coming out?,"[""February 1, 2018""]","The next episode of Scandal has already aired. The series finale ""Over a Cliff"" concluded the seventh season on April 19, 2018.","The next episode of Scandal has already concluded with ""Over a Cliff"" airing on April 19, 2018. There are no upcoming episodes scheduled as the show ended with its seventh season finale.",0.0,0.0,0.0,0.09523809523809525,0.0625,-0.03273809523809525,2,1,,duplicate_followup_query,,when is the next scandal episode coming out?,"[""R1.1 Scandal (TV series)"", ""R1.2 Over a Cliff"", ""R1.3 Scandal (season 6)"", ""R2.1 Scandal (TV series)"", ""R2.2 Over a Cliff"", ""R2.3 Scandal (season 6)""]","[""R1.1 Scandal (TV series)"", ""R1.2 Over a Cliff"", ""R1.3 Scandal (season 6)""]",0
nq,test_26,where do they grow hops in the us?,"[""Yakima (Washington)"", ""Idaho"", ""Washington"", ""western Canyon County, Idaho"", ""Willamette (Oregon)"", ""Oregon""]",The principal production centers for hops in the US are the Yakima Valley in Washington and the Willamette Valley in Oregon.,The principal regions in the US where hops are grown commercially are the Yakima Valley in Washington and the Willamette Valley in Oregon.,0.0,0.0,0.0,0.21052631578947367,0.1904761904761905,-0.02005012531328318,2,1,,duplicate_followup_query,,WHERE DO THEY GROW HOPS IN THE US TODAY?,"[""R1.1 Hops"", ""R1.2 Hops"", ""R1.3 Hops"", ""R2.1 Hops"", ""R2.2 Hops"", ""R2.3 Hops""]","[""R1.1 Hops"", ""R1.2 Hops"", ""R1.3 Hops""]",0
